AreaPxl,Asymmetry,Blueness,BorConBlue,BorConGree,BorConNDVI,BorConRed,BorConCHM,BorConDSM,BorIndex,BorLenByLe,Brightness,Compactnes,CurvByLen,Density,DifNeiBlue,DifNeiGree,DifNeiNDVI,DifNeiNIR,DifNeiRed,EllipticFi,Greenness,LenByWidMl,LenByWidPo,LengthPxl,MaxCHM,MaxDSM,MaxNDVI,MeaInBorND,MeanCHM,MeaInBorCH,MeaInBorDS,MeaOutBorD,MeaOutBorC,MeanBlue,MeanDSM,MeanGreen,MeanNDVI,MeanNIR,MeanRed,MeanStdDev,MeaOutBorN,MinCHM,MinDSM,MinNDVI,MyBrightne,NumPxls,Perimeter,PolySelfIn,RatioBlue,RatioGreen,RatioRed,RectFit,Redness,Roundness,ShapeIndex,SkewBlue,SkewGreen,SkewNDVI,SkewCHM,SkewDSM,SkewRed,StdDevCHM,StdDevBlue,StdDevDSM,StdDevGree,StdDevNDVI,StdDevNIR,StdDevRed,WidthMl,WidthPoly,ClassID
53,0.62963283,1.012509623,1.952380952,1.214285714,-0.003946697,1.595238095,0.039606004,0.056643531,1.3125,3.568800408,226.6549081,0.459959855,17.32242411,1.560791404,2.474503639,0.581463025,0.04276541,6.707881949,0.912154996,0.509433962,1.077367206,3.75590854,1.64373917,11.76866039,7.355285645,730.2299805,0.189542487,0.09465347,6.960232717,6.958003743,729.3851461,729.3298735,6.882501939,99.26415094,729.6518992,105.6226415,0.104137356,109.509434,89.22641509,15.86806922,0.09482452,6.075927734,726.9735107,-0.044334974,98.03773585,53,37.87199779,0,0.087590559,0.093201283,0.078733274,0.801388347,0.910123172,0.656484677,1.442285921,0.301281034,0.312581991,-0.66955776,-0.371314611,-2.239941184,-0.112566939,0.277588698,15.1472657,0.921145365,17.00080621,0.05426397,15.76313186,15.45613575,2.740999904,7.159688475,6
52,0.383571798,1.008563946,11.58823529,15.97058824,-0.013967052,12.52941176,0.035554774,-0.191790412,1.0625,3.777777778,220.2462888,0.605637298,15.45649858,1.727604124,25.09588011,33.62504812,0.024129456,34.25283055,25.17698327,0.730769231,1.101988817,2.47785373,1.285714286,9,5.430480957,728.5549927,0.275362313,0.101104771,4.257594182,4.203509991,727.3429307,727.6368591,4.12518514,91.34615385,727.1160595,99.80769231,0.111846649,102.4038462,80.55769231,11.82256712,0.111790761,2.039489746,725.2755127,-0.1369863,90.57051282,52,31.22778281,0,0.082949097,0.090632803,0.073152372,0.880854379,0.889447236,0.593199627,1.178737917,-0.744149424,-0.640078491,-0.720781546,-0.850823568,-0.475559682,-0.745266625,1.163181642,10.3084816,1.417894709,14.14626678,0.105517132,21.5685487,11.01295297,3.169881314,7,6
67,0.834769577,0.869699014,28.75,49.75,-0.042046054,46.5,-0.647853306,-0.280734471,1.473684211,3.120305621,243.6848358,0.440062629,1.305808565,1.375115333,23.87609925,45.62624595,0.007629017,54.23336009,43.61663943,0.582089552,1.13160779,4.345434683,2.452497722,17.94695995,5.996337891,729.4290161,0.256917,0.069009534,1.360246801,1.41723284,724.3249983,724.6137161,2.16594696,102.641791,724.1853729,133.5522388,0.08474312,140.1791045,117.8656716,15.80617045,0.095474165,-0.002502441,723.210022,-0.159663871,118.0199005,67,45.02673512,0,0.084241427,0.109610628,0.096736156,0.762705356,0.998693196,1.00507769,1.710372221,0.256207684,0.329174584,-0.869524403,1.294981943,1.974601631,0.322626427,2.322019337,13.21204956,2.153257375,18.9124326,0.076068113,20.52732098,15.2940292,3.338411956,7.317829407,6
60,0.281753704,1.085696168,-12.80769231,-15.23076923,0.206838365,-19.61538462,-0.371779222,-0.06706942,1.529411765,4,195.6222343,0.305622978,9.452165899,1.587391195,-21.20046516,-30.89691177,0.224493361,-8.223253756,-32.99621423,0.466666667,1.05824803,2.35958492,1.083333333,13,3.720947266,727.0570068,0.525773168,0.141793253,1.326529948,1.287672642,726.4368705,726.6028769,1.530084654,66.58333333,726.5278381,64.9,0.131181024,67.6,52.5,13.28857765,-0.084492985,0.028137207,724.3751831,-0.193798453,61.32777778,60,46.01602925,0,0.06807338,0.066352376,0.05367488,0.686730676,0.856055802,1.137924606,1.678292783,-0.261962285,0.193149733,0.303692283,0.79845066,-1.443347684,0.257428793,1.172494645,12.55294344,0.837511603,13.7352345,0.138329537,12.8675302,13.57755501,4.820134505,12,8
171,0.337029929,1.089242801,-9.578125,-9.109375,0.028963954,-8.671875,-0.251864433,-0.364247322,1.185185185,4,183.7465375,0.698652631,5.698780464,1.994668423,-14.98191411,-17.49912131,0.028360084,-15.21885072,-15.99238793,0.730994152,1.074701641,2.453187265,1.066666667,16,4.484436035,725.1066895,0.393258423,0.126924974,1.641350283,1.739885966,722.7476234,723.1351048,2.007340651,52.12865497,722.5806406,51.43274854,0.133813433,52.57894737,40.01169591,6.950557346,0.089894439,0,721.3786621,-0.084337346,47.85769981,171,55.86214628,0,0.056739741,0.055982278,0.043550966,0.850812295,0.836055558,0.659850285,1.223550581,-0.334393824,0.150859103,-0.33935727,0.232822632,0.684073005,-0.247347242,1.152764154,8.521445115,1.29695455,7.048693051,0.077705152,7.87537587,5.281533873,6.407611757,15,8
29,0.674961483,0.92928895,13.80769231,16.84615385,-0.015230921,17.11538462,-0.022568923,0.067472018,1,2.888888889,279.4366506,0.601101317,6.660427251,1.522605963,30.12195065,38.30849438,-0.024668858,26.95042525,37.62944297,0.862068966,1.091983455,1.642530733,2.25,9,3.336486816,724.8876953,0.02310231,-0.069557134,2.810999377,2.925838894,724.7343547,724.6343162,2.983226429,162.6896552,724.7694597,191.1724138,-0.075254073,147.2068966,171.3448276,13.08303434,-0.056970479,2.509887695,724.5249023,-0.157232702,175.0689655,29,23.3137085,0,0.116441172,0.136827015,0.122635901,0.876263753,0.978727595,0.188684086,1.207019698,0.185034644,-0.046594359,0.21916075,0.078575588,-0.660018026,0.242975746,0.297746186,12.8226724,0.163156178,12.35695802,0.051398099,10.7683422,14.06947261,3.157800691,4,6
248,0.364024742,1.04258843,1.067567568,-1.513513514,-0.050434227,-0.081081081,-0.010969007,-0.37113334,1.121212121,3.523809524,196.3757609,0.679684459,7.700756867,2.020869087,-0.617169382,-3.643553711,-0.094218366,-12.06386252,-1.039116581,0.741935484,1.057908435,3.493676734,1.3125,21,1.071472168,724.0151367,0.211009175,-0.03518916,0.372291811,0.420682313,722.0588539,722.4636944,0.432182429,71.07258065,721.8707398,72.11693548,-0.044835494,55.5,61.31854839,12.0268929,0.015581799,0.062988281,721.5800171,-0.207547173,68.16935484,248,68.18892636,0,0.07238427,0.073447899,0.062450221,0.883975311,0.899503135,0.50921461,1.174751175,0.374131184,0.517794807,0.48875037,1.462305479,3.468686495,0.869339724,0.330802549,11.55364304,0.45283667,13.18381352,0.084056939,6.501240576,11.34322213,6.573200379,16,5
62,0.304628952,0.980827447,0.25,-1.660714286,-0.000959411,-2.214285714,-0.007245745,-0.176860264,1.647058824,3.798009466,233.4148634,0.314603104,22.93890268,1.658383395,3.44913192,5.38453236,-0.018955984,1.793865965,2.831837023,0.612903226,1.094277065,4.172089944,1.17104897,14.74456567,2.916015625,724.84375,0.158469945,0.021169288,2.410149359,2.292450876,723.8041382,723.8474218,2.257623846,109.7419355,723.9452849,122.4354839,0.021080124,107.4677419,103.483871,12.26589774,0.026360504,1.815734863,722.0300293,-0.117117114,111.8870968,62,47.08293392,0,0.09403166,0.104908044,0.088669478,0.754865822,0.924895488,0.934379413,1.778001778,0.369645259,0.61349482,-0.158687453,-0.123072717,-1.752870358,0.509525958,0.390403071,11.14701679,0.573496034,14.08914129,0.058468926,6.023389202,11.56153514,2.355197426,12.59090444,6
28,0.639649278,0.93628465,7.722222222,8.5,-0.012533244,6.944444444,0.096900092,0.163775974,1.5,3.715933692,288.2763092,0.315238337,12.11008655,1.269967453,23.05707064,28.22612054,-0.060429795,16.02607987,27.33111887,0.285714286,1.094538684,3.291781757,1.648904009,9.688009256,11.097229,735.7727661,0.131249994,0.058997649,8.854651315,9.226354426,734.6561307,734.5654093,9.212646484,161.6428571,734.6672603,188.9642857,0.060923319,188.7857143,167.3214286,13.18896886,0.066798175,7.057006836,733.6069946,-0.038575668,172.6428571,28,29.94816882,0,0.112144392,0.131099421,0.116084065,0.643283139,0.969176665,1.311883043,1.700840129,-0.717999698,-0.876277758,-0.123220985,0.222457356,0.30986507,-0.479768725,1.651305532,13.07181889,0.654731575,12.66175948,0.040254663,12.01296069,13.83332821,2.40591997,5.875423435,6
89,0.720982099,1.097638752,-24.06666667,-30.8,0.112770161,-28.23333333,0.20582784,-0.232584635,1.428571429,3.333333333,186.254128,0.423431803,6.386144659,1.533945688,-40.23613507,-56.21820379,0.101063896,-41.26311298,-48.4803254,0.370786517,1.028395718,4.203619642,1.8,18,4.978881836,729.5859985,0.509433985,0.117343427,3.640243702,3.574062001,727.0171939,727.2208468,3.373790741,54.14606742,726.6189548,50.73033708,0.143599363,56.66292135,43.11235955,16.33367652,0.010966241,1.676696777,722.8914795,-0.180000007,49.32958801,89,51.68065929,0,0.058142139,0.054474322,0.046294125,0.720665965,0.87396553,0.781116448,1.58999682,0.742892164,1.151929749,0.09511904,0.242994977,-0.253161227,0.846803369,0.975943488,14.63146568,1.671768743,18.3699584,0.16886185,16.7378625,15.99960547,3.778482638,10,8
